No of bedrooms,No of bathrooms,living area,No of floors,waterfront present,No of views,house condition,house grade,Built Year,Renovation Year,Lattitude,Longitude,living_area_renov,Price,Total floor area,Total lot area
4,2.5,2920,1.5,0,0,5,8,1909,0,52.8878,-114.47,2470,1400000,2920,8000
5,2.75,2910,1.5,0,0,3,8,1939,0,52.8852,-114.468,2940,1200000,2910,16080
4,2.5,3310,2.0,0,0,3,9,2001,0,52.9532,-114.321,3350,838000,3310,85845
3,2.0,2710,1.5,0,0,4,8,1929,0,52.9047,-114.485,2060,805000,2710,9000
3,2.5,2600,1.0,0,0,4,9,1951,0,52.9133,-114.59,2380,790000,2600,9500
5,3.25,3660,2.0,0,2,3,10,2006,0,52.7637,-114.05,3320,785000,3660,23236
3,1.75,2240,2.0,0,0,5,8,1923,0,52.9254,-114.482,1570,750000,2240,21156
3,2.5,2390,1.0,0,2,4,8,1955,0,52.8014,-114.598,2010,750000,2390,13100
4,2.25,2200,1.5,0,0,5,7,1920,0,52.9145,-114.391,2320,698000,2200,22064
5,2.5,2820,2.0,0,0,3,8,1979,0,52.8094,-114.215,2820,675000,2820,115869
4,2.0,1820,1.5,0,1,3,7,1945,0,52.9115,-114.459,2060,650000,1820,10000
4,2.0,1520,1.5,0,0,3,7,1945,0,52.908,-114.459,1910,640000,1520,12400
4,2.75,2710,2.0,0,0,3,9,2000,0,52.6934,-114.177,2390,630000,2710,76576
3,2.25,1750,2.5,0,0,3,9,2005,0,52.8798,-114.511,2410,626000,1750,4622
4,2.5,2820,2.0,0,0,3,9,2014,0,52.9838,-114.515,1300,625000,2820,16816
4,3.25,2730,1.0,0,0,3,9,2007,0,52.7433,-114.3,2730,625000,2730,165288
3,1.75,2360,1.0,0,0,4,8,1948,0,52.7574,-114.574,1860,615000,2360,12790
4,2.5,2730,2.0,0,0,3,9,1991,0,52.9719,-114.395,2730,612500,2730,23133
3,2.5,3240,2.0,0,2,3,10,1995,0,52.5556,-114.568,4050,604000,3240,58118
3,1.75,2330,1.0,0,0,3,8,1980,0,52.8567,-114.236,2570,588500,2330,29109
4,2.5,3310,2.0,0,0,3,8,2012,0,52.745,-114.06,2380,555000,3310,11500
4,2.5,1940,1.0,0,0,4,7,1976,0,52.913,-114.304,2200,550000,1940,21000
3,1.75,2910,1.5,0,0,3,8,1979,0,52.8047,-114.225,2590,550000,2910,72700
4,2.5,2860,2.0,0,0,3,8,2004,0,53.0035,-114.348,2860,499950,2860,6941
4,1.75,1600,1.0,0,0,3,8,1959,0,52.931,-114.496,1090,495000,1600,12760
4,1.75,2190,1.0,0,2,3,9,1968,0,52.5003,-114.259,3000,491500,2190,250469
2,1.0,880,1.0,0,0,3,7,1938,1994,52.9224,-114.512,1340,490000,880,12760
4,2.5,2710,2.0,0,0,3,9,1989,0,52.605,-114.212,2780,482000,2710,72092
5,2.5,2210,1.0,0,0,3,8,1976,0,52.9998,-114.412,2080,470000,2210,18288
3,1.75,1710,1.0,0,0,3,7,1948,0,52.9812,-114.471,2260,463000,1710,16159
3,2.5,2680,2.0,0,0,3,8,2013,0,52.7061,-113.924,2990,459990,2680,11576
3,2.5,2430,1.0,0,0,4,7,1985,0,52.7128,-113.908,1560,452500,2430,145253
3,2.5,1270,3.0,0,0,3,8,2001,0,52.8997,-114.582,1320,445700,1270,2360
4,2.25,2160,1.0,0,0,3,8,1966,0,52.7743,-114.367,1850,440000,2160,17119
2,1.0,800,1.0,0,0,4,7,1944,0,52.8939,-114.554,1150,440000,800,9215
3,2.5,1770,2.0,0,0,3,8,1990,0,52.7931,-114.587,1770,439950,1770,6708
3,2.25,1970,2.0,0,0,4,9,1977,0,52.6935,-114.181,2340,437500,1970,70200
3,2.5,1770,3.0,0,0,3,8,2007,0,52.9265,-114.532,1680,436110,1770,2438
4,1.0,1450,1.0,0,0,4,7,1954,0,52.8046,-114.325,1260,435000,1450,17742
4,1.5,1920,1.0,0,0,4,7,1954,0,52.8025,-114.323,1450,430000,1920,20836
3,2.25,2000,1.0,0,0,4,8,1963,0,52.8488,-114.304,2070,420000,2000,16280
3,1.5,1570,1.0,0,0,4,7,1956,0,52.8322,-114.324,1570,419000,1570,14000
3,2.5,1930,2.0,0,0,3,8,1996,0,52.7238,-114.351,2290,407500,1930,18688
3,2.0,1960,1.0,0,2,5,8,1957,0,52.6719,-114.53,1960,403000,1960,23618
4,2.5,3630,1.5,0,0,3,9,1979,0,52.4917,-114.38,2830,400000,3630,123032
3,3.25,1320,2.0,0,0,3,8,2008,0,52.8806,-114.573,1440,385000,1320,2590
4,1.75,1560,1.0,0,0,4,7,1967,0,52.9574,-114.371,2080,382500,1560,16700
4,3.0,3110,2.0,0,0,3,8,1997,0,52.5579,-114.381,2820,367500,3110,14542
